system:index,LST_Day,LST_Night,especie,fecha,satelite,.geo
1_1_1_2021_08_29,12.647845094664403,0.8221239242685361,pino,2021-08-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_09_06,13.033931153184197,-2.2227986230636563,pino,2021-09-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_09_14,17.966096385542198,-1.1441411359724387,pino,2021-09-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_09_22,21.683611015490563,0.9594251290878102,pino,2021-09-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_09_30,19.49212736660932,-1.706013769363145,pino,2021-09-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_10_08,26.616113597246166,2.9213253012048495,pino,2021-10-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_10_16,27.745401032702265,2.7809810671256807,pino,2021-10-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_10_24,31.47833046471603,4.1286506024096665,pino,2021-10-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_11_01,29.88984165232362,3.396230636833077,pino,2021-11-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_11_09,23.41452323580037,3.0441067125645733,pino,2021-11-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_11_17,33.294647160068884,6.319865748709152,pino,2021-11-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_11_25,32.321662650602434,4.993222030981094,pino,2021-11-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_12_03,38.77237521514633,9.269345955249598,pino,2021-12-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_12_11,37.01050946643721,5.405228915662674,pino,2021-12-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_12_19,40.796409638554245,10.221559380378684,pino,2021-12-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_12_27,38.03026850258179,8.747459552495732,pino,2021-12-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_01_01,37.03265748709126,8.61048192771087,pino,2022-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_01_09,38.060533562822755,11.096416523235828,pino,2022-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_01_17,30.948925989673004,6.378647160068877,pino,2022-01-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_01_25,36.34924956970744,10.378454388984533,pino,2022-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_02_02,36.25523235800348,10.19371772805511,pino,2022-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_02_10,36.36044406196217,9.315452667814144,pino,2022-02-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_02_18,32.77397934595528,7.722640275387299,pino,2022-02-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_02_26,24.801931153184206,5.345001721170425,pino,2022-02-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_03_06,27.988079173838248,5.46953872633393,pino,2022-03-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_03_14,28.394771084337386,7.066234079173873,pino,2022-03-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_03_22,22.681222030981104,3.6773803786575177,pino,2022-03-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_03_30,18.267611015490566,0.259700516351154,pino,2022-03-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_04_15,12.480870912220334,4.094585197934627,pino,2022-04-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_04_23,6.757248695652205,-0.34614418350625586,pino,2022-04-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_05_01,12.902760524499685,2.9113838209983065,pino,2022-05-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_05_09,11.984987951807259,-0.2696213425128859,pino,2022-05-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_05_17,9.06039586919108,-1.7232530120481642,pino,2022-05-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_05_25,2.894178370786546,-6.949201376936289,pino,2022-05-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_06_02,5.321304647160099,-2.96913253012046,pino,2022-06-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_06_10,6.423657694962078,-1.64357659208259,pino,2022-06-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_06_18,1.8071925465838852,-6.921476764199627,pino,2022-06-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_06_26,0.9359759036144869,-5.998282271944894,pino,2022-06-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_07_04,-0.103886402753846,-7.109084337349371,pino,2022-07-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_07_12,-0.03863572433189599,-8.147039586919076,pino,2022-07-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_07_20,2.544834834834868,-5.418895008605818,pino,2022-07-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_07_28,4.527266781411385,-3.7275559380378334,pino,2022-07-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_08_05,6.458559108875344,-5.586895008605816,pino,2022-08-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_08_13,2.5230533562823005,-4.672864027538695,pino,2022-08-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_08_21,9.897889845094696,-1.8472254733218298,pino,2022-08-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
