fecha,especie,LST_Day,LST_Night,LST,mes
2020-02-12,estepa,30.20803038062634,11.174856158602438,20.69144326961439,2
2020-02-12,pino,21.402132269384254,10.651948372896477,16.027040321140365,2
2020-02-13,estepa,28.117949494259825,6.162282151646577,17.140115822953202,2
2020-02-13,pino,23.872679947673095,6.003328932454584,14.938004440063839,2
2020-02-14,estepa,31.606619859304573,4.7536162031783915,18.18011803124148,2
2020-02-14,pino,25.749889756834776,4.374593151417071,15.062241454125923,2
2020-02-15,estepa,29.139100058441095,9.725279898218858,19.432189978329976,2
2020-02-15,pino,24.36336692144616,9.762371772805537,17.062869347125847,2
2020-02-16,estepa,30.569005576028815,10.374478371501308,20.471741973765063,2
2020-02-16,pino,23.497669415561163,10.009253012048223,16.75346121380469,2
2020-02-17,estepa,23.23542510121461,0.944099783080297,12.089762442147453,2
